38 Provinsi,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
ACEH,663437,517850,557272,756915,791968,701963,871519,618671,565184,588020,637519,-,7270318
SUMATERA UTARA,2962641,1870691,1852752,2673955,2556839,2416258,2462212,1889717,1847654,1958158,1870337,-,24361214
SUMATERA BARAT,1345098,1024017,1056957,1373374,1538507,1407632,1413899,1072952,1083013,1121805,904282,-,13341536
RIAU,914340,729078,759760,935938,977332,1016640,1048542,893939,866457,908253,762348,-,9812627
JAMBI,380949,293566,302700,414742,421741,424987,433896,375376,368132,386128,371185,-,4173402
SUMATERA SELATAN,870450,714967,703181,1010231,1021583,968252,1013893,867202,867562,858520,725317,-,9621158
BENGKULU,211866,151670,154106,248057,241660,225886,241961,199228,204566,209482,187859,-,2276341
LAMPUNG,1149078,900023,877374,1429885,1376686,1208281,1293197,997673,1030417,1058924,894880,-,12216418
KEP. BANGKA BELITUNG,164006,124730,139812,185529,209111,218299,234099,206938,188694,173431,137343,-,1981992
KEP. RIAU,176025,153373,162989,162775,200190,230629,211471,180206,179288,186323,166685,-,2009954
DKI JAKARTA,6440619,5764546,5102411,3818359,4205052,4741778,4765407,4460100,5547181,5538389,5724711,-,56108553
JAWA BARAT,15172532,12225938,11090133,11964676,12614837,12392325,14209134,11285737,12562445,12937519,12661993,-,139117269
JAWA TENGAH,10215465,8522313,10463721,11700414,11879262,10317259,10496595,8130358,8200960,8442719,8162360,-,106531426
DI YOGYAKARTA,2918939,2402006,2321441,2291965,3122919,3060366,2864007,2059153,2117509,2313657,2255890,-,27727852
JAWA TIMUR,19451002,17436510,17708068,19450106,22309466,20347494,17427521,13539565,12654730,13820919,12965607,-,187110988
BANTEN,4325638,3898615,3333376,2979960,3255453,3021918,3606807,3255128,3929704,4048337,3940520,-,39595456
BALI,1830882,1284069,1278466,1616487,1619283,2090327,1955513,1751039,1747551,1874460,1777605,-,18825682
NUSA TENGGARA BARAT,774963,574848,525034,609687,1025070,1628775,1718321,1406166,1254525,1326692,1287287,-,12131368
NUSA TENGGARA TIMUR,657639,367905,269024,291353,344325,501565,494235,348069,339774,345529,335297,-,4294715
KALIMANTAN BARAT,419418,321107,306368,390690,404409,407707,407292,327538,295721,312246,356052,-,3948548
KALIMANTAN TENGAH,304152,241954,245960,275200,299372,340119,337424,334553,277704,276691,222334,-,3155463
KALIMANTAN SELATAN,630195,481876,477294,578791,589759,630115,673975,520794,517769,542022,445758,-,6088348
KALIMANTAN TIMUR,641896,579530,580672,580561,643021,695994,663800,620068,597562,560799,564435,-,6728338
KALIMANTAN UTARA,35205,32471,39504,37128,46157,54764,52221,51470,44774,51068,42636,-,487398
SULAWESI UTARA,421675,329629,358498,468296,460407,480374,492400,422694,440086,427074,390052,-,4691185
SULAWESI TENGAH,667588,567749,695711,702310,716311,465410,377459,302353,251645,264313,284303,-,5295152
SULAWESI SELATAN,2682502,2225280,2455952,2503880,2472401,1983399,2212555,1397173,1188982,1177955,1233382,-,21533461
SULAWESI TENGGARA,1372219,1299527,1389727,1281173,1294740,899696,838914,480612,376071,365686,386244,-,9984609
GORONTALO,139879,114908,132863,164216,162712,154749,156871,134793,139730,131858,125945,-,1558524
SULAWESI BARAT,423949,380529,425711,399963,406264,297134,294755,157794,110449,111448,126041,-,3134037
MALUKU,66046,49253,55659,62401,75390,85195,77652,78196,69657,79054,78630,-,777133
MALUKU UTARA,118409,109334,136684,142086,148300,162908,157597,144689,135130,126786,123916,-,1505839
PAPUA BARAT,47444,38921,40975,39759,49782,62022,58569,53329,46999,53875,57701,-,549376
PAPUA,94530,76336,87194,87917,100494,133566,123085,114107,107044,119299,125457,-,1169029